ZIP Code,Household Median Income,Household Mean Income,Family Median Income,Family Mean Income,Married-couple Family Median Income,Married-couple Family Mean Income,Nonfamily Household Median Income,Nonfamily Household Mean Income
91766,61018.0,77675.0,60072.0,79936.0,70375.0,91462.0,39295.0,52462.0
91767,63283.0,76820.0,69490.0,81234.0,85986.0,95397.0,44032.0,57417.0
91768,62136.0,74148.0,62734.0,76516.0,74345.0,,32472.0,48876.0
91770,61394.0,76654.0,65710.0,80466.0,67306.0,82968.0,31354.0,46842.0
91773,89669.0,110726.0,109185.0,126060.0,123894.0,,40720.0,57328.0
91775,94024.0,121997.0,106851.0,135130.0,118988.0,,54236.0,77578.0
91776,65563.0,82889.0,66065.0,87931.0,74267.0,,41034.0,54203.0
91780,83029.0,101947.0,90273.0,110016.0,99707.0,,47753.0,65218.0
91784,133287.0,151773.0,142435.0,162186.0,149623.0,,66563.0,89814.0
91786,65542.0,79579.0,72704.0,86483.0,86771.0,101966.0,46687.0,58690.0
91789,105848.0,127407.0,113087.0,132734.0,121506.0,,54868.0,79290.0
91790,84505.0,102405.0,89456.0,106545.0,99949.0,118007.0,51824.0,63676.0
91791,87147.0,106981.0,104059.0,122949.0,117895.0,,31726.0,46610.0
91792,85040.0,95642.0,89790.0,100262.0,97204.0,,54977.0,67311.0
91801,66804.0,88882.0,72704.0,95937.0,81626.0,,49275.0,67267.0
91803,66169.0,84382.0,74144.0,91490.0,88137.0,,48783.0,57874.0
91901,93214.0,119653.0,106557.0,134334.0,118339.0,,43523.0,62711.0
91902,106769.0,132519.0,123750.0,138268.0,129829.0,,70469.0,111325.0
91905,42896.0,52076.0,,62563.0,,,,30806.0
91906,48100.0,69435.0,64073.0,80774.0,90104.0,,35991.0,37850.0
91910,70283.0,90646.0,79589.0,100880.0,98394.0,117927.0,40825.0,56747.0
91911,65074.0,82231.0,73924.0,88765.0,90458.0,102044.0,33231.0,45098.0
91913,113415.0,132723.0,114940.0,138019.0,128882.0,,77616.0,85445.0
91914,136833.0,147979.0,143503.0,154025.0,153783.0,,58347.0,75840.0
91915,125864.0,136542.0,125340.0,137558.0,133068.0,,113125.0,105924.0
91916,89531.0,112221.0,89355.0,117406.0,87813.0,,,82958.0
91917,,85568.0,,88621.0,132122.0,,,
91931,63455.0,55622.0,,55334.0,78900.0,,63132.0,50083.0
91932,59795.0,76679.0,64818.0,81529.0,80660.0,,40133.0,53993.0
91934,37422.0,41541.0,,31194.0,,,51471.0,65825.0
91935,106735.0,125756.0,111958.0,132528.0,124000.0,,44018.0,85318.0
91941,94111.0,120062.0,108338.0,135461.0,126783.0,,52971.0,70587.0
91942,66551.0,84760.0,82612.0,95573.0,101861.0,,50183.0,67301.0
91945,67236.0,76023.0,74120.0,85478.0,90625.0,,38344.0,48323.0
91948,,,,,,,,
91950,48359.0,63766.0,53567.0,67664.0,66322.0,75738.0,30400.0,47342.0
91962,130938.0,132591.0,135221.0,141743.0,145665.0,,,86403.0
91963,,76831.0,,109713.0,,,,
91977,71396.0,89112.0,76985.0,93041.0,86794.0,103609.0,47576.0,66708.0
91978,84266.0,100683.0,84899.0,103045.0,106580.0,,65123.0,76855.0
91980,,,,,,,,
92003,89201.0,117827.0,103081.0,141172.0,111719.0,,43542.0,57899.0
92004,61809.0,93289.0,93661.0,105942.0,111037.0,,49306.0,70852.0
92007,107778.0,156716.0,145882.0,190781.0,152500.0,,64619.0,91698.0
92008,86046.0,120672.0,106250.0,141725.0,134670.0,,66549.0,84790.0
92009,138138.0,177632.0,159224.0,193223.0,181678.0,,76926.0,98968.0
92010,102793.0,116829.0,118094.0,134943.0,131276.0,,54805.0,67528.0
92011,115301.0,159413.0,130918.0,177968.0,147357.0,,66427.0,104576.0
92014,162305.0,237815.0,228672.0,289782.0,242417.0,,92250.0,137191.0
92019,85067.0,110938.0,95543.0,122642.0,103405.0,135709.0,49559.0,65346.0
92020,61830.0,83640.0,71925.0,93291.0,88653.0,,38654.0,53501.0
92021,60510.0,83027.0,68929.0,92347.0,85650.0,108192.0,35340.0,47606.0
92024,125458.0,173529.0,152205.0,202215.0,170803.0,,67320.0,107621.0
92025,56866.0,83511.0,65420.0,98504.0,82090.0,,30772.0,47537.0
92026,76534.0,95471.0,85759.0,105340.0,101042.0,,47369.0,63980.0
92027,70009.0,91576.0,79697.0,101461.0,96393.0,,36769.0,48478.0
92028,80775.0,103250.0,86431.0,110186.0,99659.0,123526.0,46576.0,64680.0
92029,96690.0,129748.0,122656.0,151382.0,139861.0,,63773.0,78627.0
92036,64861.0,78567.0,72138.0,101334.0,71974.0,,54571.0,51005.0
92037,113676.0,185009.0,156798.0,235217.0,185333.0,,67710.0,106685.0
