Zipcode,Land Area sq meters,Water Area sq meters,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Population,Population Density per sq mile
91311,"86,669,985","80,160",33.463,0.031,34.2924951,−118.6024243,41811.0,1249.4695633983802
91316,"14,134,707","608,348",5.457,0.235,34.1585419,−118.5165971,30412.0,5573.025471870991
91320,"52,255,688",0,20.176,0.0,34.1733772,−118.9479768,44667.0,2213.8679619349723
91321,"69,048,109","31,836",26.66,0.012,34.3637151,−118.4870386,34340.0,1288.0720180045012
91324,"11,027,268","55,995",4.258,0.022,34.2382078,−118.5502898,30995.0,7279.2390793799905
91325,"12,472,762","11,525",4.816,0.004,34.2375194,−118.5177121,34637.0,7192.068106312293
91326,"20,977,690","21,964",8.1,0.008,34.2817747,−118.5556973,36126.0,4460.0
91330,"1,292,974",0,0.499,0.0,34.2445219,−118.5266770,3136.0,6284.5691382765535
91331,"24,202,529","100,933",9.345,0.039,34.2552942,−118.4197025,103683.0,11095.024077046548
91335,"17,006,684","80,913",6.566,0.031,34.2001746,−118.5409577,80937.0,12326.682911970758
91340,"8,886,235",0,3.431,0.0,34.2866697,−118.4348171,37221.0,10848.440687846109
91342,"117,701,545","80,173",45.445,0.031,34.3265845,−118.3822613,94432.0,2077.94036747717
91343,"15,340,898","28,358",5.923,0.011,34.2388019,−118.4822956,65344.0,11032.247172041196
91344,"37,456,572","870,003",14.462,0.336,34.2894674,−118.5046992,55694.0,3851.0579449592037
91345,"8,402,139","33,284",3.244,0.013,34.2658786,−118.4567483,18825.0,5803.020961775585
91350,"41,091,778","61,502",15.866,0.024,34.4305995,−118.5027738,38611.0,2433.5686373377034
91351,"22,497,422","3,048",8.686,0.001,34.4337272,−118.4580608,30746.0,3539.7190881878887
91352,"30,382,603","141,310",11.731,0.055,34.2308542,−118.3658560,46027.0,3923.5359304407125
91354,"18,977,357","2,015",7.327,0.001,34.4584223,−118.5541396,33039.0,4509.212501706019
91355,"34,068,777","710,832",13.154,0.274,34.4018497,−118.5700136,29371.0,2232.8569256499923
91356,"18,993,226",0,7.333,0.0,34.154999,−118.5475590,30700.0,4186.553934269739
91360,"39,789,006","916,025",15.363,0.354,34.2133053,−118.8741349,42663.0,2776.996680335872
91361,"74,766,396","1,754,605",28.867,0.677,34.1372832,−118.8820443,19953.0,691.2044895555479
91362,"49,181,589",0,18.989,0.0,34.1924314,−118.8194861,37085.0,1952.972773711096
91364,"19,527,000",0,7.539,0.0,34.1548025,−118.5948161,28395.0,3766.4146438519697
91367,"19,392,370","30,934",7.487,0.012,34.1773105,−118.6157038,45074.0,6020.301856551356
