Zipcode,Population,Per Capita Income,Poverty Count,Poverty Rate,Insurance coverage status,Coverage Rate
91917,851.0,30493.0,316.0,37.132784958871916,851.0,100.0
91931,749.0,23644.0,167.0,22.296395193591454,749.0,100.0
91932,26157.0,33164.0,3997.0,15.280804373590243,25467.0,97.36208280766142
91934,1251.0,19628.0,564.0,45.08393285371702,1251.0,100.0
91935,9320.0,50180.0,435.0,4.667381974248927,9289.0,99.66738197424893
91941,33602.0,51579.0,2901.0,8.633414677697756,33151.0,98.65781798702459
91942,40995.0,43521.0,4766.0,11.625808025368947,39592.0,96.57763141846567
91945,27541.0,33281.0,2710.0,9.839875095312443,26708.0,96.97541846701282
91948,104.0,26816.0,14.0,13.461538461538462,104.0,100.0
91950,57844.0,25102.0,8154.0,14.096535509300878,56200.0,97.15787289952286
91962,2528.0,52494.0,201.0,7.950949367088608,2483.0,98.21993670886076
91963,624.0,19503.0,178.0,28.525641025641026,624.0,100.0
91977,65497.0,34807.0,6982.0,10.660030230392232,64272.0,98.12968532909905
91978,11006.0,36596.0,2017.0,18.326367435944032,10784.0,97.98291840814102
91980,103.0,14368.0,0.0,0.0,103.0,100.0
92003,4404.0,66260.0,571.0,12.965485921889192,4340.0,98.54677565849228
92004,3200.0,49463.0,136.0,4.25,3199.0,99.96875
92007,11939.0,73354.0,1680.0,14.071530278917832,11756.0,98.4672083089036
92008,27373.0,62401.0,2319.0,8.471851824790852,26888.0,98.2281810543236
92009,46334.0,73433.0,2898.0,6.254586264945828,46044.0,99.37410972503993
92010,16566.0,55779.0,1088.0,6.567668719063142,16150.0,97.4888325485935
92011,24472.0,67295.0,1553.0,6.346028113762667,24325.0,99.39931350114416
92014,12532.0,122679.0,506.0,4.037663581232046,12470.0,99.50526651771465
92019,45937.0,42311.0,4256.0,9.264862746805408,45653.0,99.38176197836167
92020,59775.0,33011.0,9337.0,15.620242576327897,58682.0,98.17147636971978
92021,69638.0,32674.0,11949.0,17.15873517332491,68538.0,98.42040265372354
92024,50222.0,79296.0,2688.0,5.352236071841026,49714.0,98.98849109951814
92025,50270.0,36497.0,8650.0,17.207081758504078,49581.0,98.62940123333996
92026,53053.0,41892.0,6044.0,11.392381203701959,52645.0,99.23095772152377
92027,55750.0,32488.0,6130.0,10.995515695067265,55458.0,99.47623318385651
92028,51135.0,41108.0,6087.0,11.903784100909357,50060.0,97.89772171702357
92029,19986.0,56615.0,1000.0,5.0035024517162014,19758.0,98.85920144100871
92036,3075.0,49408.0,248.0,8.065040650406504,3000.0,97.5609756097561
92037,37665.0,90214.0,3186.0,8.45878136200717,37324.0,99.09465020576131
92040,45906.0,39731.0,3423.0,7.456541628545288,45372.0,98.83675336557313
92054,37050.0,40878.0,4922.0,13.284750337381917,36439.0,98.35087719298245
92055,10618.0,32008.0,0.0,0.0,0.0,0.0
92056,54190.0,43086.0,3309.0,6.106292673925078,52641.0,97.1415390293412
92057,58022.0,39312.0,4654.0,8.021095446554755,57060.0,98.34200820378477
92058,48272.0,28935.0,4477.0,9.274527676499835,36444.0,75.4971826317534
92059,1456.0,40451.0,130.0,8.928571428571429,1456.0,100.0
92060,506.0,57064.0,65.0,12.845849802371541,506.0,100.0
92061,1677.0,47727.0,171.0,10.196779964221825,1675.0,99.88073941562314
