ZIP Code,Population Under 18 years,Total Population,Percent Population Under 18 years,Female Population Under 18 years,Male Population Under 18 years,Population Density per sq mile
92135,0,1095,0.0,0,0,1513.0641330166272
92136,6,9630,0.1,0,6,
92139,7862,34930,22.5,4160,3702,10109.558412520964
92140,30,2807,1.1,0,30,6435.514018691589
92145,0,2810,0.0,0,0,183.04829919188123
92147,0,180,0.0,0,0,4551.724137931034
92154,19045,83758,22.7,8979,10066,1745.122022249403
92155,0,196,0.0,0,0,1178.117048346056
92161,0,12,0.0,0,0,
92173,7195,28609,25.1,3591,3604,10861.31386861314
92179,0,3031,0.0,0,0,
92182,0,0,,0,0,
92201,13834,64325,21.5,6919,6915,4007.093073459569
92203,8130,33558,24.2,4062,4068,1753.16935746018
92210,286,4832,5.9,83,203,358.75410294014944
92211,3129,26741,11.7,1700,1429,1722.0910623946038
92220,7503,32797,22.9,3342,4161,236.02994240756203
92222,0,0,,0,0,0.0
92223,17554,61686,28.5,8262,9292,1265.4499377556465
92225,4610,21189,21.8,2234,2376,38.762692113719964
92227,8222,27540,29.9,4101,4121,45.75805250763897
92230,343,2039,16.8,176,167,202.3636207930119
92231,11135,38674,28.8,5300,5835,581.8065118450227
92233,1109,6871,16.1,575,534,49.45676479099256
92234,10485,51964,20.2,5547,4938,3712.544026009212
92236,9415,42506,22.1,4284,5131,743.318620555852
92239,16,296,5.4,5,11,0.5705786441117251
92240,10575,40755,25.9,5238,5337,1013.8297872340426
92241,1251,8232,15.2,785,466,58.03386251366945
92242,176,1230,14.3,47,129,28.74897719984962
92243,14520,49193,29.5,7061,7459,442.2401468485801
92249,2269,7910,28.7,1031,1238,425.8886315577485
92250,2161,8033,26.9,1083,1078,23.426680591186688
92251,7975,27050,29.5,4071,3904,98.31989845006991
92252,1384,7911,17.5,901,483,84.57977207977208
92253,6932,37898,18.3,2569,4363,1027.661047115242
92254,1728,9362,18.5,947,781,173.8840216937839
92256,633,3387,18.7,284,349,50.134175217048146
92257,389,1186,32.8,228,161,4.496233434686391
92258,107,547,19.6,55,52,49.78813559322034
92259,0,225,0.0,0,0,0.3091372638920728
92260,4186,31039,13.5,2224,1962,1101.852737651073
92262,2941,25856,11.4,1190,1751,808.630927014972
92264,1186,20229,5.9,501,685,409.8573026871062
92266,0,170,0.0,0,0,0.1004261783197603
92267,0,0,,0,0,0.6131930850687484
92268,0,405,0.0,0,0,5.166252888078871
92270,1493,17257,8.7,646,847,724.0449964846496
92273,447,1631,27.4,233,214,574.8521630874571
92274,3027,15917,19.0,1603,1424,65.2504776399728
92275,363,1406,25.8,161,202,62.42600631412787
92276,2257,8242,27.4,1342,915,220.43882403804585
92277,8194,27370,29.9,3848,4346,15.29865330077325
92278,0,3574,0.0,0,0,12757.65306122449
92280,0,0,,0,0,0.0
92281,831,2238,37.1,393,438,217.12769988632056
92282,255,1361,18.7,139,116,19.094091439482337
92283,662,1967,33.7,332,330,5.209368431829542
92284,5949,25741,23.1,3010,2939,202.3188496748433
92285,216,2726,7.9,108,108,8.965050997913053
92301,12849,38565,33.3,6064,6785,154.7759394616141
92304,0,0,,0,0,0.1468336374887252
92305,202,500,40.4,112,90,5.288403471539245
92307,10693,40534,26.4,4817,5876,207.24238738450376
92308,13210,43191,30.6,6525,6685,410.46330288559335
92309,159,561,28.3,82,77,1.7685093753312466
92310,2671,8967,29.8,1301,1370,115.74034892577772
92311,10378,34226,30.3,4988,5390,76.8549301051074
92313,2803,13104,21.4,1337,1466,3474.1355463347163
92314,2385,10658,22.4,1079,1306,291.84877622377627
92315,1134,5228,21.7,509,625,180.669980254647
92316,7968,30656,26.0,3045,4923,2535.279805352798
92317,46,567,8.1,10,36,
92320,2251,10366,21.7,960,1291,646.5529597248101
92321,158,784,20.2,107,51,127.28038170081392
92322,89,746,11.9,30,59,169.65643052599577
92324,14007,57593,24.3,7185,6822,2146.359022353407
92325,1630,8449,19.3,831,799,989.4724796887516
92327,86,633,13.6,26,60,34.06772745818033
92328,56,1022,5.5,0,56,0.3258989284804088
92332,21,177,11.9,21,0,0.0998937300743889
92333,34,429,7.9,6,28,40.55930186433955
92335,27803,96704,28.8,13127,14676,5684.940138626339
92336,27833,100571,27.7,13447,14386,4965.598752703315
92337,9497,37292,25.5,4748,4749,2890.5109489051097
92338,0,0,,0,0,0.0
92339,313,1064,29.4,47,266,17.50696731694958
92341,56,331,16.9,36,20,24.8074422326698
92342,1409,6317,22.3,693,716,68.45689505990615
92344,5136,20448,25.1,2227,2909,596.0960561657314
92345,25665,87476,29.3,12748,12917,846.9996762968359
92346,15638,60025,26.1,7233,8405,2337.7461464709786
92347,105,601,17.5,23,82,3.979212547045595
92350,0,468,0.0,0,0,
92352,1220,6147,19.8,526,694,547.9060088441863
92354,4349,23054,18.9,2306,2043,4616.666666666666
92356,1719,7048,24.4,794,925,16.956848799835875
92358,49,762,6.4,7,42,9.68753886762206
92359,2414,9758,24.7,997,1417,509.4555873925501
92363,1127,5447,20.7,583,544,14.445382262339324
92364,0,12,0.0,0,0,0.0095268581184074
92365,469,2393,19.6,162,307,5.228376823828322
92368,276,1018,27.1,156,120,21.30101270410115
92369,34,3999,0.9,0,34,
92371,6472,21265,30.4,3542,2930,158.08161102278748
92372,1378,5208,26.5,756,622,225.332400279916
92373,7473,33946,22.0,3740,3733,813.3667711598746
92374,10488,44976,23.3,4848,5640,2458.688506323472
92376,23625,85727,27.6,11829,11796,6508.480936655659
92377,5336,20935,25.5,2666,2670,2863.9332870048643
92378,110,437,25.2,65,45,203.24189526184537
