ZIP Code,Population Under 18 years (Selected),Total Population,Population Under 5 years,Population 5 to 9 years,Population 10 to 14 years,Population 15 to 19 years,Percent Population Under 5 years,Percent Population 5 to 9 years,Percent Population 10 to 14 years,Percent Population Under 18 years (Selected),Male Population Under 5 years,Male Population 5 to 9 years,Male Population 10 to 14 years,Female Population Under 5 years,Female Population 5 to 9 years,Female Population 10 to 14 years,Female Population Under 18 years (Selected)
90822,0,125,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
90831,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
90840,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
91001,7394,36420,2012,1953,2304,1735,5.5,5.4,6.3,20.3,990,868,1213,1022,1085,1091,3863
91006,6789,31986,1270,2014,2376,1640,4.0,6.3,7.4,21.2,538,1046,1007,732,968,1369,3610
91007,6498,33367,1407,1577,2487,1824,4.2,4.7,7.5,19.5,557,725,1277,850,852,1210,3447
91008,90,744,28,29,27,22,3.8,3.9,3.6,12.1,6,17,16,22,12,11,46
91010,4747,26825,1321,1132,1408,1432,4.9,4.2,5.2,17.7,824,662,876,497,470,532,1973
91011,5674,20389,910,1332,2102,1728,4.5,6.5,10.3,27.8,346,713,989,564,619,1113,2982
91016,9276,41822,2322,2429,2914,2482,5.6,5.8,7.0,22.2,1204,1354,1477,1118,1075,1437,4261
91020,1843,7509,365,414,814,411,4.9,5.5,10.8,24.5,132,242,433,233,172,381,987
91024,2033,11151,543,565,631,390,4.9,5.1,5.7,18.2,334,289,233,209,276,398,1000
91030,6136,26583,1557,1742,1921,1326,5.9,6.6,7.2,23.1,936,926,1023,621,816,898,2804
91040,3853,20911,1152,944,1156,780,5.5,4.5,5.5,18.4,661,500,603,491,444,553,1771
91042,4455,27119,1081,1260,1399,1282,4.0,4.6,5.2,16.4,519,607,555,562,653,844,2355
91046,0,141,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
91101,2037,19737,794,410,541,538,4.0,2.1,2.7,10.3,388,167,316,406,243,225,966
91103,5747,27167,1296,1271,2032,1544,4.8,4.7,7.5,21.2,799,576,1081,497,695,951,2683
91104,7013,35918,1648,1945,2399,1893,4.6,5.4,6.7,19.5,931,945,1264,717,1000,1135,3242
91105,1977,12692,657,527,552,365,5.2,4.2,4.3,15.6,283,364,311,374,163,241,890
91106,3751,23813,1448,912,839,1004,6.1,3.8,3.5,15.8,605,557,416,843,355,423,1935
91107,5984,32581,2076,1725,1477,1207,6.4,5.3,4.5,18.4,1011,772,858,1065,953,619,2973
91108,2894,12559,587,790,700,954,4.7,6.3,5.6,23.0,203,559,419,384,231,281,1318
91125,3,996,0,0,0,341,0.0,0.0,0.0,0.3,0,0,0,0,0,0,0
91201,4162,22163,906,1183,1517,1183,4.1,5.3,6.8,18.8,474,455,709,432,728,808,2308
91202,3634,22831,1029,1087,906,995,4.5,4.8,4.0,15.9,488,539,499,541,548,407,1846
91203,2735,16679,636,787,791,696,3.8,4.7,4.7,16.4,343,411,426,293,376,365,1225
91204,3127,18445,857,812,774,1092,4.6,4.4,4.2,17.0,401,353,387,456,459,387,1595
91205,6245,35755,1722,1679,1765,1798,4.8,4.7,4.9,17.5,603,844,823,1119,835,942,3419
91206,5259,32294,1729,1160,1578,1207,5.4,3.6,4.9,16.3,968,463,826,761,697,752,2535
91207,2130,11091,724,394,524,770,6.5,3.6,4.7,19.2,446,188,311,278,206,213,972
91208,2828,15377,552,636,906,1330,3.6,4.1,5.9,18.4,332,305,419,220,331,487,1641
91210,35,310,21,7,7,12,6.8,2.3,2.3,11.3,21,7,7,0,0,0,0
91214,8071,32344,1935,2458,2314,2067,6.0,7.6,7.2,25.0,1089,1208,1306,846,1250,1008,3734
91301,5923,25244,964,1630,2037,1907,3.8,6.5,8.1,23.5,615,931,885,349,699,1152,2752
91302,5706,26318,1052,1417,2025,1775,4.0,5.4,7.7,21.7,512,706,1064,540,711,961,2928
91303,6392,30611,1882,1636,2054,1587,6.1,5.3,6.7,20.9,955,736,1163,927,900,891,3111
91304,11244,54369,2779,3136,3171,3610,5.1,5.8,5.8,20.7,1354,1727,1468,1425,1409,1703,5613
91306,10778,49460,3192,2933,2896,3021,6.5,5.9,5.9,21.8,1655,1444,1684,1537,1489,1212,5031
91307,5395,25368,1382,1571,1464,1761,5.4,6.2,5.8,21.3,686,723,673,696,848,791,2912
91311,7921,40196,2206,2186,1843,2346,5.5,5.4,4.6,19.7,967,977,1147,1239,1209,696,3937
91316,5371,28497,1693,1487,1556,1007,5.9,5.2,5.5,18.8,662,817,629,1031,670,927,3033
91320,10299,44138,2429,2696,3163,3211,5.5,6.1,7.2,23.3,1194,1281,1758,1235,1415,1405,5044
91321,8885,34305,2595,2203,2532,2753,7.6,6.4,7.4,25.9,1036,825,1269,1559,1378,1263,5204
91324,5744,29744,1757,1370,1751,1583,5.9,4.6,5.9,19.3,1059,900,847,698,470,904,2506
91325,6264,35537,1306,1678,2150,2136,3.7,4.7,6.1,17.6,499,881,856,807,797,1294,3386
91326,7655,36503,1777,2100,2231,2414,4.9,5.8,6.1,21.0,896,1126,1187,881,974,1044,3721
91330,30,2699,0,0,0,1515,0.0,0.0,0.0,1.1,0,0,0,0,0,0,19
91331,24450,99804,5650,6872,7365,7465,5.7,6.9,7.4,24.5,2736,3546,3775,2914,3326,3590,11844
91335,16435,77158,4409,4159,5080,4913,5.7,5.4,6.6,21.3,2394,1981,2701,2015,2178,2379,8066
91340,8081,34822,1987,2160,2632,2331,5.7,6.2,7.6,23.2,985,1117,1466,1002,1043,1166,3949
91342,20896,92580,5357,5098,6177,7175,5.8,5.5,6.7,22.6,2999,2652,3447,2358,2446,2730,9523
91343,15378,63193,4038,4019,4173,4931,6.4,6.4,6.6,24.3,1996,2017,2352,2042,2002,1821,7549
91344,10828,53862,2975,2741,3236,2932,5.5,5.1,6.0,20.1,1649,1382,1683,1326,1359,1553,5138
91345,3278,18481,942,944,694,1104,5.1,5.1,3.8,17.7,382,447,385,560,497,309,1719
91350,12160,42970,2574,3240,4005,3078,6.0,7.5,9.3,28.3,1345,1739,1949,1229,1501,2056,5952
91351,7827,32677,2297,1699,2490,1923,7.0,5.2,7.6,24.0,1562,835,1472,735,864,1018,3457
91352,9628,45601,2021,2845,3008,3148,4.4,6.2,6.6,21.1,881,1411,1395,1140,1434,1613,5064
91354,8574,33039,1823,2533,2719,2245,5.5,7.7,8.2,26.0,800,1291,1224,1023,1242,1495,4492
91355,5668,30289,1900,1278,1699,1786,6.3,4.2,5.6,18.7,917,728,944,983,550,755,2630
91356,5851,30599,1134,1635,1936,1930,3.7,5.3,6.3,19.1,481,874,1077,653,761,859,2755
91360,7860,42444,1979,2008,2369,2763,4.7,4.7,5.6,18.5,1198,1053,1189,781,955,1180,3538
91361,3432,18753,846,899,995,911,4.5,4.8,5.3,18.3,500,494,583,346,405,412,1421
91362,7123,36770,1584,2143,2200,1833,4.3,5.8,6.0,19.4,654,1205,1299,930,938,901,3216
91364,6567,28765,2227,1722,1644,1168,7.7,6.0,5.7,22.8,939,798,1031,1288,924,613,3306
91367,8049,44862,2390,1825,1979,2539,5.3,4.1,4.4,17.9,1035,1174,1169,1355,651,810,3671
91371,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0
91377,3423,13627,810,630,1215,1021,5.9,4.6,8.9,25.1,411,360,672,399,270,543,1605
91381,5578,20864,1115,1430,1652,1935,5.3,6.9,7.9,26.7,661,622,527,454,808,1125,3350
91384,6449,27652,1526,1713,2073,1803,5.5,6.2,7.5,23.3,938,954,823,588,759,1250,3121
91387,12666,46812,3609,3112,3959,3577,7.7,6.6,8.5,27.1,2020,1606,2210,1589,1506,1749,5883
91390,4368,18930,749,1106,1428,1316,4.0,5.8,7.5,23.1,277,599,693,472,507,735,2377
