"Geographic Area Name (NAME)","Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)","Internal Point (Latitude) (INTPTLAT)","Internal Point (Longitude) (INTPTLON)"
"ZCTA5 91007","14,258,935","13,098","5.505","0.005","34.1282838","−118.0477319"
"ZCTA5 91008","4,986,907","3,236","1.925","0.001","34.1531592","−117.9688184"
"ZCTA5 91010","16,656,660","113,263","6.431","0.044","34.1410125","−117.9586611"
"ZCTA5 91011","29,166,369","52,803","11.261","0.020","34.2179351","−118.2022546"
"ZCTA5 91016","21,957,683","125,531","8.478","0.048","34.1527996","−118.0004821"
"ZCTA5 91020","1,860,873","0","0.718","0.000","34.2113702","−118.2306878"
"ZCTA5 91024","9,051,030","10,258","3.495","0.004","34.1752764","−118.0460166"
"ZCTA5 91030","8,887,635","35,008","3.432","0.014","34.1089567","−118.1566154"
"ZCTA5 91040","21,548,830","63,248","8.320","0.024","34.2576958","−118.3384551"
"ZCTA5 91042","128,977,026","40,742","49.798","0.016","34.3155031","−118.2648469"
"ZCTA5 91046","13,141","0","0.005","0.000","34.2116769","−118.2409217"
"ZCTA5 91101","3,289,962","0","1.270","0.000","34.1467715","−118.1389217"
"ZCTA5 91103","11,886,234","55,781","4.589","0.022","34.1673607","−118.1641443"
"ZCTA5 91104","9,766,256","11,657","3.771","0.005","34.1653555","−118.1237514"
"ZCTA5 91105","10,866,792","85,275","4.196","0.033","34.1394598","−118.1666485"
"ZCTA5 91106","7,036,428","3,397","2.717","0.001","34.1394024","−118.1286585"
"ZCTA5 91107","21,906,577","167,967","8.458","0.065","34.1590073","−118.0873527"
"ZCTA5 91108","9,813,448","18,177","3.789","0.007","34.1223718","−118.1142336"
"ZCTA5 91125","458,931","0","0.177","0.000","34.1376436","−118.1249524"
"ZCTA5 91201","6,172,356","26,905","2.383","0.010","34.1705102","−118.2894632"
"ZCTA5 91202","12,746,450","21,519","4.921","0.008","34.1833023","−118.2644781"
"ZCTA5 91203","2,273,702","29,918","0.878","0.012","34.1533375","−118.2629738"
"ZCTA5 91204","2,704,483","0","1.044","0.000","34.1355570","−118.2609400"
"ZCTA5 91205","4,908,651","853","1.895","0.000","34.1365802","−118.2458387"
"ZCTA5 91206","14,927,682","38,612","5.764","0.015","34.1603591","−118.2137690"
"ZCTA5 91207","4,120,014","45,197","1.591","0.017","34.1679391","−118.2442410"
"ZCTA5 91208","19,142,779","138,105","7.391","0.053","34.1856652","−118.2394969"
"ZCTA5 91210","247,272","0","0.095","0.000","34.1446528","−118.2580607"
"ZCTA5 91214","18,850,366","58,205","7.278","0.022","34.2357284","−118.2466552"
"ZCTA5 91301","85,773,200","305,368","33.117","0.118","34.1232861","−118.7585413"
"ZCTA5 91302","71,094,709","116,015","27.450","0.045","34.1225565","−118.6698213"
"ZCTA5 91303","5,479,012","41,824","2.115","0.016","34.1982900","−118.6022035"
"ZCTA5 91304","25,183,699","56,316","9.723","0.022","34.2277906","−118.6446066"
"ZCTA5 91306","10,767,909","62,549","4.158","0.024","34.2095320","−118.5775630"
"ZCTA5 91307","21,083,059","26,188","8.140","0.010","34.2004853","−118.6648523"
"ZCTA5 91311","86,669,985","80,160","33.463","0.031","34.2924951","−118.6024243"
"ZCTA5 91316","14,134,707","608,348","5.457","0.235","34.1585419","−118.5165971"
"ZCTA5 91320","52,255,688","0","20.176","0.000","34.1733772","−118.9479768"
"ZCTA5 91321","69,048,109","31,836","26.660","0.012","34.3637151","−118.4870386"
"ZCTA5 91324","11,027,268","55,995","4.258","0.022","34.2382078","−118.5502898"
"ZCTA5 91325","12,472,762","11,525","4.816","0.004","34.2375194","−118.5177121"
"ZCTA5 91326","20,977,690","21,964","8.100","0.008","34.2817747","−118.5556973"
"ZCTA5 91330","1,292,974","0","0.499","0.000","34.2445219","−118.5266770"
"ZCTA5 91331","24,202,529","100,933","9.345","0.039","34.2552942","−118.4197025"
"ZCTA5 91335","17,006,684","80,913","6.566","0.031","34.2001746","−118.5409577"
"ZCTA5 91340","8,886,235","0","3.431","0.000","34.2866697","−118.4348171"
"ZCTA5 91342","117,701,545","80,173","45.445","0.031","34.3265845","−118.3822613"
"ZCTA5 91343","15,340,898","28,358","5.923","0.011","34.2388019","−118.4822956"
"ZCTA5 91344","37,456,572","870,003","14.462","0.336","34.2894674","−118.5046992"
"ZCTA5 91345","8,402,139","33,284","3.244","0.013","34.2658786","−118.4567483"
"ZCTA5 91350","41,091,778","61,502","15.866","0.024","34.4305995","−118.5027738"
"ZCTA5 91351","22,497,422","3,048","8.686","0.001","34.4337272","−118.4580608"
"ZCTA5 91352","30,382,603","141,310","11.731","0.055","34.2308542","−118.3658560"
"ZCTA5 91354","18,977,357","2,015","7.327","0.001","34.4584223","−118.5541396"
"ZCTA5 91355","34,068,777","710,832","13.154","0.274","34.4018497","−118.5700136"
"ZCTA5 91356","18,993,226","0","7.333","0.000","34.1549990","−118.5475590"
"ZCTA5 91360","39,789,006","916,025","15.363","0.354","34.2133053","−118.8741349"
"ZCTA5 91361","74,766,396","1,754,605","28.867","0.677","34.1372832","−118.8820443"
"ZCTA5 91362","49,181,589","0","18.989","0.000","34.1924314","−118.8194861"
"ZCTA5 91364","19,527,000","0","7.539","0.000","34.1548025","−118.5948161"
"ZCTA5 91367","19,392,370","30,934","7.487","0.012","34.1773105","−118.6157038"
"ZCTA5 91371","541,829","0","0.209","0.000","34.1850148","−118.5760882"
"ZCTA5 91377","13,971,948","0","5.395","0.000","34.1847243","−118.7665166"
"ZCTA5 91381","102,401,426","11,451","39.537","0.004","34.3732214","−118.6079714"
"ZCTA5 91384","268,324,332","2,049,538","103.601","0.791","34.5201006","−118.6682759"
"ZCTA5 91387","138,359,139","322,323","53.421","0.124","34.4025187","−118.3634627"
"ZCTA5 91390","409,540,534","2,471,303","158.124","0.954","34.5765149","−118.4927643"
"ZCTA5 91401","9,165,581","40,551","3.539","0.016","34.1784827","−118.4317905"
